utc_time,latitude,longitude,pressure_dbar,temperature_c,conductivity_sm,turbidity_ftu,oxygen_raw_v,orp
2025-04-11T18:50:33Z,27.112820,-165.446859,41.678000,21.191200,4.935834,0.640000,2.587300,127.218150
2025-04-11T18:50:34Z,27.112823,-165.446858,41.895000,21.191500,4.935898,0.642000,2.587700,127.146930
2025-04-11T18:50:35Z,27.112825,-165.446857,42.108000,21.191600,4.935914,0.647000,2.587800,127.157110
2025-04-11T18:50:36Z,27.112827,-165.446856,42.318000,21.191600,4.935913,0.649000,2.587400,127.167280
2025-04-11T18:50:37Z,27.112827,-165.446830,42.658000,21.191600,4.935942,0.640000,2.587100,127.116400
2025-04-11T18:50:38Z,27.112825,-165.446777,42.792000,21.191800,4.935962,0.640000,2.587000,127.116400
2025-04-11T18:50:39Z,27.112823,-165.446723,43.071000,21.191900,4.935998,0.648000,2.587200,127.106230
2025-04-11T18:50:40Z,27.112821,-165.446670,43.221000,21.192000,4.936003,0.639000,2.587300,127.106230
2025-04-11T18:50:41Z,27.112819,-165.446617,43.474000,21.192000,4.936021,0.643000,2.587300,127.106230
2025-04-11T18:50:42Z,27.112817,-165.446563,43.760000,21.191900,4.936015,0.641000,2.586600,127.106230
2025-04-11T18:50:43Z,27.112815,-165.446510,43.949000,21.191800,4.936027,0.642000,2.585800,127.106230
2025-04-11T18:50:44Z,27.112813,-165.446457,44.184000,21.191900,4.936030,0.640000,2.585500,127.106230
2025-04-11T18:50:45Z,27.112811,-165.446403,44.397000,21.191900,4.936049,0.648000,2.585200,127.106230
2025-04-11T18:50:46Z,27.112809,-165.446350,44.628000,21.192000,4.936064,0.643000,2.585200,127.106230
2025-04-11T18:50:47Z,27.112807,-165.446296,44.844000,21.192000,4.936080,0.640000,2.584900,127.106230
2025-04-11T18:50:48Z,27.112805,-165.446243,45.096000,21.192100,4.936101,0.646000,2.584700,127.096050
2025-04-11T18:50:49Z,27.112803,-165.446190,45.401000,21.192100,4.936117,0.643000,2.584900,127.065530
2025-04-11T18:50:50Z,27.112801,-165.446136,45.554000,21.192100,4.936129,0.642000,2.585500,127.085880
2025-04-11T18:50:51Z,27.112800,-165.446102,45.894000,21.192000,4.936125,0.642000,2.585900,127.065530
2025-04-11T18:50:52Z,27.112802,-165.446097,46.095000,21.192200,4.936155,0.642000,2.586000,126.953610
2025-04-11T18:50:53Z,27.112803,-165.446092,46.415000,21.192200,4.936166,0.645000,2.586100,127.035010
2025-04-11T18:50:54Z,27.112804,-165.446087,46.639000,21.192000,4.936164,0.646000,2.586000,126.994300
2025-04-11T18:50:55Z,27.112806,-165.446082,46.914000,21.192100,4.936179,0.649000,2.586100,126.953610
2025-04-11T18:50:56Z,27.112807,-165.446077,47.131000,21.192100,4.936187,0.645000,2.586100,126.953610
2025-04-11T18:50:57Z,27.112808,-165.446072,47.428000,21.192100,4.936200,0.646000,2.585900,126.923080
2025-04-11T18:50:58Z,27.112811,-165.446095,47.774000,21.192300,4.936232,0.644000,2.586100,126.882380
2025-04-11T18:50:59Z,27.112817,-165.446189,47.999000,21.192400,4.936248,0.643000,2.585900,126.892560
2025-04-11T18:51:00Z,27.112823,-165.446283,48.268000,21.192200,4.936257,0.644000,2.586100,126.882380
2025-04-11T18:51:01Z,27.112828,-165.446376,48.517000,21.192100,4.936254,0.646000,2.586400,126.882380
2025-04-11T18:51:02Z,27.112834,-165.446470,48.787000,21.192100,4.936267,0.648000,2.586800,126.882380
2025-04-11T18:51:03Z,27.112840,-165.446564,49.053000,21.191800,4.936233,0.645000,2.586700,126.862030
2025-04-11T18:51:04Z,27.112846,-165.446657,49.322000,21.191900,4.936258,0.649000,2.587000,126.862030
2025-04-11T18:51:05Z,27.112852,-165.446732,49.650000,21.192200,4.936301,0.646000,2.586600,126.862030
2025-04-11T18:51:06Z,27.112855,-165.446728,49.846000,21.191000,4.936168,0.646000,2.586300,126.862030
2025-04-11T18:51:07Z,27.112859,-165.446724,50.093000,21.191600,4.936243,0.647000,2.586600,126.862030
2025-04-11T18:51:08Z,27.112863,-165.446720,50.347000,21.190700,4.936162,0.653000,2.586200,126.851860
2025-04-11T18:51:09Z,27.112866,-165.446716,50.614000,21.189800,4.936061,0.650000,2.586000,126.862030
2025-04-11T18:51:10Z,27.112870,-165.446712,50.886000,21.189600,4.936074,0.650000,2.585700,126.862030
2025-04-11T18:51:11Z,27.112874,-165.446708,51.114000,21.189700,4.936070,0.651000,2.585100,126.862030
2025-04-11T18:51:12Z,27.112877,-165.446704,51.358000,21.190900,4.936212,0.651000,2.584200,126.851860
2025-04-11T18:51:13Z,27.112881,-165.446699,51.598000,21.192200,4.936361,0.648000,2.583800,126.841680
2025-04-11T18:51:14Z,27.112885,-165.446695,51.907000,21.193000,4.936488,0.648000,2.583700,126.831510
2025-04-11T18:51:15Z,27.112888,-165.446691,52.083000,21.192800,4.936481,0.646000,2.583200,126.862030
2025-04-11T18:51:16Z,27.112892,-165.446687,52.401000,21.192600,4.936459,0.646000,2.583100,126.862030
2025-04-11T18:51:17Z,27.112896,-165.446683,52.624000,21.193000,4.936522,0.650000,2.582200,126.862030
2025-04-11T18:51:18Z,27.112899,-165.446679,52.870000,21.193100,4.936538,0.647000,2.581700,126.760280
2025-04-11T18:51:19Z,27.112902,-165.446675,53.176000,21.193200,4.936562,0.647000,2.581900,126.750110
2025-04-11T18:51:20Z,27.112904,-165.446672,53.363000,21.192000,4.936455,0.651000,2.582200,126.750110
2025-04-11T18:51:21Z,27.112905,-165.446669,53.459000,21.191200,4.936344,0.646000,2.582700,126.750110
2025-04-11T18:51:22Z,27.112906,-165.446666,53.460000,21.189600,4.936150,0.646000,2.583300,126.739930
2025-04-11T18:51:23Z,27.112907,-165.446663,53.470000,21.192800,4.936500,0.644000,2.583800,126.760280
2025-04-11T18:51:24Z,27.112908,-165.446660,53.397000,21.192800,4.936526,0.659000,2.584100,126.739930
2025-04-11T18:51:25Z,27.112909,-165.446657,53.383000,21.193300,4.936578,0.651000,2.584200,126.750110
2025-04-11T18:51:26Z,27.112911,-165.446654,53.264000,21.193400,4.936577,0.662000,2.584000,126.719580
2025-04-11T18:51:27Z,27.112912,-165.446651,53.120000,21.193300,4.936577,0.648000,2.583900,126.760280
2025-04-11T18:51:28Z,27.112913,-165.446648,53.034000,21.193000,4.936538,0.646000,2.583600,126.699230
2025-04-11T18:51:29Z,27.112914,-165.446645,52.893000,21.191800,4.936387,0.654000,2.582900,126.780630
2025-04-11T18:51:30Z,27.112915,-165.446641,52.843000,21.193200,4.936552,0.648000,2.582800,126.770460
2025-04-11T18:51:31Z,27.112916,-165.446638,52.744000,21.190500,4.936272,0.652000,2.582500,126.719580
2025-04-11T18:51:32Z,27.112918,-165.446635,52.686000,21.189800,4.936150,0.649000,2.582800,126.790810
2025-04-11T18:51:33Z,27.112919,-165.446632,52.670000,21.187400,4.935866,0.647000,2.582900,126.739930
2025-04-11T18:51:34Z,27.112920,-165.446629,52.664000,21.186300,4.935749,0.644000,2.583000,126.729760
2025-04-11T18:51:35Z,27.112921,-165.446626,52.682000,21.186900,4.935797,0.647000,2.582600,126.719580
2025-04-11T18:51:36Z,27.112922,-165.446623,52.728000,21.187000,4.935818,0.646000,2.582800,126.750110
2025-04-11T18:51:37Z,27.112924,-165.446620,52.792000,21.185100,4.935625,0.649000,2.583300,126.699230
2025-04-11T18:51:38Z,27.112925,-165.446617,52.778000,21.184000,4.935507,0.651000,2.583100,126.729760
2025-04-11T18:51:39Z,27.112926,-165.446614,52.856000,21.184800,4.935575,0.650000,2.582400,126.678880
2025-04-11T18:51:40Z,27.112927,-165.446611,52.871000,21.181700,4.935257,0.661000,2.582500,126.658530
2025-04-11T18:51:41Z,27.112928,-165.446608,52.822000,21.186100,4.935682,0.646000,2.582500,126.668710
2025-04-11T18:51:42Z,27.112930,-165.446606,52.845000,21.192200,4.936368,0.647000,2.582600,126.678880
2025-04-11T18:51:43Z,27.112931,-165.446603,52.862000,21.193300,4.936526,0.652000,2.583100,126.668710
2025-04-11T18:51:44Z,27.112932,-165.446601,52.898000,21.192900,4.936499,0.646000,2.583600,126.668710
2025-04-11T18:51:45Z,27.112934,-165.446599,52.854000,21.192900,4.936494,0.647000,2.583500,126.628010
2025-04-11T18:51:46Z,27.112935,-165.446596,52.816000,21.193000,4.936515,0.649000,2.583200,126.648360
2025-04-11T18:51:47Z,27.112936,-165.446593,52.864000,21.192700,4.936483,0.650000,2.582400,126.678880
2025-04-11T18:51:48Z,27.112936,-165.446589,52.826000,21.190500,4.936231,0.647000,2.582100,126.628010
2025-04-11T18:51:49Z,27.112935,-165.446584,52.836000,21.192100,4.936387,0.646000,2.582200,126.617830
2025-04-11T18:51:50Z,27.112935,-165.446580,52.851000,21.191900,4.936380,0.650000,2.581700,126.638180
2025-04-11T18:51:51Z,27.112935,-165.446575,52.779000,21.193000,4.936510,0.647000,2.582400,126.617830
2025-04-11T18:51:52Z,27.112935,-165.446570,52.849000,21.193400,4.936548,0.646000,2.582400,126.628010
2025-04-11T18:51:53Z,27.112934,-165.446566,52.824000,21.193000,4.936523,0.647000,2.582600,126.617830
2025-04-11T18:51:54Z,27.112934,-165.446561,52.831000,21.193500,4.936570,0.647000,2.582400,126.617830
2025-04-11T18:51:55Z,27.112937,-165.446555,52.818000,21.193700,4.936596,0.649000,2.582600,126.617830
2025-04-11T18:51:56Z,27.112939,-165.446548,52.867000,21.193600,4.936565,0.651000,2.582400,126.617830
2025-04-11T18:51:57Z,27.112942,-165.446542,52.794000,21.194300,4.936656,0.649000,2.582300,126.617830
2025-04-11T18:51:58Z,27.112944,-165.446536,52.831000,21.194200,4.936660,0.654000,2.582400,126.617830
2025-04-11T18:51:59Z,27.112946,-165.446530,52.810000,21.194200,4.936652,0.649000,2.582800,126.617830
2025-04-11T18:52:00Z,27.112949,-165.446523,52.799000,21.194100,4.936629,0.645000,2.583700,126.617830
2025-04-11T18:52:01Z,27.112951,-165.446517,52.836000,21.194000,4.936622,0.646000,2.584300,126.617830
2025-04-11T18:52:02Z,27.112953,-165.446512,52.861000,21.194000,4.936620,0.665000,2.584200,126.617830
2025-04-11T18:52:03Z,27.112955,-165.446507,52.843000,21.194000,4.936633,0.646000,2.583800,126.617830
2025-04-11T18:52:04Z,27.112958,-165.446501,52.778000,21.193800,4.936602,0.650000,2.583400,126.536430
2025-04-11T18:52:05Z,27.112960,-165.446496,52.834000,21.193900,4.936606,0.646000,2.583100,126.587310
2025-04-11T18:52:06Z,27.112962,-165.446491,52.790000,21.194200,4.936651,0.648000,2.583400,126.516080
2025-04-11T18:52:07Z,27.112964,-165.446485,52.854000,21.194100,4.936623,0.653000,2.583400,126.424510
2025-04-11T18:52:08Z,27.112966,-165.446480,52.789000,21.193800,4.936599,0.647000,2.583900,126.393980
2025-04-11T18:52:09Z,27.112956,-165.446477,52.820000,21.193500,4.936566,0.645000,2.584600,126.424510
2025-04-11T18:52:10Z,27.112946,-165.446474,52.861000,21.193400,4.936559,0.652000,2.584300,126.465210
2025-04-11T18:52:11Z,27.112936,-165.446471,52.850000,21.193400,4.936551,0.650000,2.583700,126.393980
2025-04-11T18:52:12Z,27.112926,-165.446468,52.766000,21.193400,4.936558,0.647000,2.583500,126.373630
2025-04-11T18:52:13Z,27.112916,-165.446465,52.835000,21.193400,4.936557,0.649000,2.583200,126.383810
2025-04-11T18:52:14Z,27.112906,-165.446462,52.781000,21.193400,4.936555,0.647000,2.582800,126.373630
2025-04-11T18:52:15Z,27.112896,-165.446459,52.871000,21.193600,4.936584,0.648000,2.582900,126.373630
2025-04-11T18:52:16Z,27.112886,-165.446456,52.781000,21.193700,4.936586,0.648000,2.583000,126.373630
2025-04-11T18:52:17Z,27.112875,-165.446453,52.809000,21.193900,4.936613,0.648000,2.582900,126.383810
2025-04-11T18:52:18Z,27.112865,-165.446450,52.775000,21.194000,4.936625,0.650000,2.582800,126.373630
2025-04-11T18:52:19Z,27.112855,-165.446447,52.794000,21.193900,4.936625,0.648000,2.582900,126.383810
2025-04-11T18:52:20Z,27.112845,-165.446444,52.819000,21.194100,4.936627,0.648000,2.583600,126.373630
2025-04-11T18:52:21Z,27.112835,-165.446441,52.871000,21.194000,4.936625,0.647000,2.583900,126.373630
2025-04-11T18:52:22Z,27.112828,-165.446428,52.884000,21.194000,4.936628,0.650000,2.583400,126.373630
2025-04-11T18:52:23Z,27.112849,-165.446343,52.869000,21.194100,4.936638,0.649000,2.583400,126.373630
2025-04-11T18:52:24Z,27.112870,-165.446258,52.847000,21.194100,4.936640,0.650000,2.583400,126.373630
2025-04-11T18:52:25Z,27.112890,-165.446172,52.867000,21.194200,4.936633,0.650000,2.583600,126.373630
2025-04-11T18:52:26Z,27.112911,-165.446087,52.863000,21.193800,4.936619,0.652000,2.583700,126.373630
2025-04-11T18:52:27Z,27.112932,-165.446002,52.837000,21.193800,4.936622,0.650000,2.584000,126.373630
2025-04-11T18:52:28Z,27.112952,-165.445916,52.866000,21.193800,4.936607,0.650000,2.584000,126.373630
2025-04-11T18:52:29Z,27.112972,-165.445839,52.797000,21.193900,4.936622,0.649000,2.583500,126.363460
2025-04-11T18:52:30Z,27.112976,-165.445913,52.836000,21.194000,4.936624,0.647000,2.583300,126.373630
2025-04-11T18:52:31Z,27.112979,-165.445988,52.798000,21.193900,4.936623,0.648000,2.583400,126.353280
2025-04-11T18:52:32Z,27.112983,-165.446062,52.825000,21.193900,4.936623,0.648000,2.583500,126.363460
2025-04-11T18:52:33Z,27.112986,-165.446137,52.875000,21.193800,4.936606,0.652000,2.583700,126.343110
2025-04-11T18:52:34Z,27.112989,-165.446211,52.782000,21.193700,4.936608,0.653000,2.583300,126.373630
2025-04-11T18:52:35Z,27.112993,-165.446286,52.844000,21.193700,4.936599,0.648000,2.582500,126.353280
2025-04-11T18:52:36Z,27.112996,-165.446350,52.812000,21.193600,4.936592,0.649000,2.581700,126.353280
2025-04-11T18:52:37Z,27.112998,-165.446345,52.883000,21.193400,4.936565,0.650000,2.581200,126.322760
2025-04-11T18:52:38Z,27.113000,-165.446339,52.804000,21.193500,4.936569,0.650000,2.581400,126.322760
2025-04-11T18:52:39Z,27.113001,-165.446333,52.928000,21.193500,4.936580,0.650000,2.581100,126.353280
2025-04-11T18:52:40Z,27.113003,-165.446328,52.838000,21.192900,4.936509,0.650000,2.581100,126.322760
